Bosque,Year,Planta,X,Y,Periodo,Flores,prob_consp_step
3,2020,Trifolium_pratense,9,3,2,1,0.3339707717754063
3,2020,Potentilla_erecta,7,3,2,3,0.5281033403500488
3,2020,Potentilla_erecta,6,3,2,3,0.518243384925024
3,2020,Potentilla_erecta,5,3,2,3,0.6225019401297847
3,2020,Lotus_corniculatus,5,3,2,6,0.5478188337020483
3,2020,Potentilla_erecta,4,3,2,9,0.6940477707651854
3,2020,Lotus_corniculatus,3,3,2,3,0.4371226778040386
3,2020,Potentilla_erecta,2,3,2,2,0.7088136371898345
3,2020,Prunella_grandiflora,2,3,2,6,0.3195076096001317
3,2020,Potentilla_erecta,1,3,2,8,0.6821706111170026
3,2020,Ranunculus_sp,8,16,1,4,0.632542546743738
3,2020,Ranunculus_sp,9,16,1,4,0.7909686605145425
3,2020,Potentilla_erecta,10,16,1,2,0.671289305793914
3,2020,Ranunculus_sp,10,16,1,5,0.7293972162052306
3,2020,Lotus_corniculatus,13,16,1,9,0.7633521204496169
3,2020,Potentilla_erecta,13,16,1,2,0.8227469948952658
3,2020,Ranunculus_sp,13,16,1,2,0.8609662390023476
3,2020,Ranunculus_sp,14,16,1,2,0.6524795114632788
3,2020,Potentilla_erecta,14,16,1,2,0.6736452850720306
3,2020,Ranunculus_sp,15,16,1,1,0.5438294460334525
3,2020,Ranunculus_sp,16,16,1,3,0.6867255772422122
3,2020,Potentilla_erecta,16,16,1,2,0.6702858023498546
3,2020,Ranunculus_sp,17,16,1,2,0.7338129552259227
3,2020,Lotus_corniculatus,17,16,1,2,0.6178495403603852
3,2020,Ranunculus_sp,19,16,1,1,0.5671608304954258
3,2020,Potentilla_erecta,20,16,1,3,0.6341588535451179
3,2020,Lotus_corniculatus,21,16,1,2,0.49237464244950035
3,2020,Lotus_corniculatus,22,16,1,12,0.8321738257829383
3,2020,Potentilla_erecta,22,16,1,3,0.823538072971789
3,2020,Bellis_perennis,22,16,1,2,0.6918583095962094
3,2020,Lathyrus_linifolius,0,17,1,1,0.7211134231675103
3,2020,Ranunculus_sp,0,17,1,5,0.782545787978761
3,2020,Potentilla_erecta,0,17,1,1,0.7436922990725776
3,2020,Ranunculus_sp,1,17,1,1,0.8218697565430493
3,2020,Potentilla_erecta,1,17,1,9,0.7766788582720022
3,2020,Ranunculus_sp,2,17,1,2,0.6057633815999164
3,2020,Ranunculus_sp,3,17,1,2,0.7882541643840093
3,2020,Ranunculus_sp,4,17,1,2,0.5926827307050175
3,2020,Ranunculus_sp,7,17,1,11,0.8080494655262113
3,2020,Ranunculus_sp,8,17,1,7,0.8629701955982866
3,2020,Lotus_corniculatus,8,17,1,5,0.7669368328602106
3,2020,Potentilla_erecta,8,17,1,1,0.7840932698808584
3,2020,Ranunculus_sp,9,17,1,2,0.5727217344401916
3,2020,Ranunculus_sp,11,17,1,3,0.6016832850142666
3,2020,Ranunculus_sp,12,17,1,7,0.7143575397473579
3,2020,Lotus_corniculatus,13,17,1,7,0.644323342982954
3,2020,Potentilla_erecta,13,17,1,1,0.6926463319170387
3,2020,Lotus_corniculatus,14,17,1,3,0.5410728622125669
3,2020,Ranunculus_sp,14,17,1,1,0.6550065157655086
3,2020,Ranunculus_sp,15,17,1,6,0.9115234566215054
3,2020,Lotus_corniculatus,0,2,1,1,0.703874151764444
3,2020,Ranunculus_sp,0,2,1,1,0.8064590866793506
3,2020,Potentilla_erecta,0,2,1,3,0.7534931828581346
3,2020,Potentilla_erecta,1,2,1,2,0.6640509286327482
3,2020,Lotus_corniculatus,2,2,1,1,0.557606672430789
3,2020,Lathyrus_linifolius,2,2,1,1,0.6954315965889174
3,2020,Lathyrus_linifolius,4,2,1,1,0.8901828489513466
3,2020,Ranunculus_sp,4,2,1,1,0.657434567720572
3,2020,Lathyrus_linifolius,5,2,1,1,0.7664949584313496
3,2020,Potentilla_erecta,5,2,1,5,0.7119502048303843
3,2020,Potentilla_erecta,6,2,1,7,0.7376603027804546
3,2020,Ranunculus_sp,6,2,1,2,0.8163618160232426
3,2020,Lathyrus_linifolius,7,2,1,1,0.7200479343887259
3,2020,Ranunculus_sp,7,2,1,3,0.8085247565109772
3,2020,Lotus_corniculatus,7,2,1,4,0.7007485472402022
3,2020,Lotus_corniculatus,8,2,1,2,0.6529465119231589
3,2020,Potentilla_erecta,8,2,1,2,0.7108796123978519
3,2020,Lathyrus_linifolius,8,2,1,2,0.753732698645813
3,2020,Ranunculus_sp,9,2,1,1,0.5918220113960913
3,2020,Ranunculus_sp,10,2,1,1,0.74777241603698
3,2020,Ranunculus_sp,12,2,1,1,0.5921811664815825
3,2020,Potentilla_erecta,14,2,1,2,0.5765088555542645
3,2020,Ranunculus_sp,16,2,1,1,0.8730138500248023
3,2020,Taraxacum_sp,16,2,1,4,0.8249048701027244
3,2020,Potentilla_erecta,16,2,1,3,0.8590713001784337
3,2020,Thymus_praecox,16,2,1,3,0.7016219555545178
3,2020,Lotus_corniculatus,17,2,1,3,0.5387111605680667
3,2020,Thymus_praecox,18,2,1,8,0.9166819487707004
3,2020,Lotus_corniculatus,18,2,1,17,0.9082996407452297
3,2020,Potentilla_erecta,18,2,1,1,0.9473063192717199
3,2020,Lotus_corniculatus,19,2,1,3,0.6594144835341373
3,2020,Taraxacum_sp,19,2,1,1,0.7158484654072466
3,2020,Potentilla_erecta,19,2,1,2,0.7658414902627301
3,2020,Lotus_corniculatus,20,2,1,5,0.7059754570748468
3,2020,Taraxacum_sp,20,2,1,1,0.756173162948987
3,2020,Potentilla_erecta,20,2,1,2,0.7997614703780453
3,2020,Lotus_corniculatus,21,2,1,57,0.9614325646986861
3,2020,Taraxacum_sp,21,2,1,1,0.9600116038559315
3,2020,Lotus_corniculatus,22,2,1,51,0.9574403386086944
3,2020,Taraxacum_sp,22,5,1,2,0.7363062196967897
3,2020,Potentilla_erecta,22,5,1,4,0.7842183725247721
3,2020,Lotus_corniculatus,22,5,1,1,0.6813134466364266
3,2020,Potentilla_erecta,21,5,1,3,0.7247230768924835
3,2020,Ranunculus_sp,21,5,1,1,0.7140481416515974
3,2020,Taraxacum_sp,20,5,1,1,0.662556819088541
3,2020,Potentilla_erecta,20,5,1,3,0.726274970271831
3,2020,Potentilla_erecta,19,5,1,4,0.7341933355878542
3,2020,Taraxacum_sp,19,5,1,1,0.6717277668253103
3,2020,Potentilla_erecta,18,5,1,2,0.6972608657849173
3,2020,Ranunculus_sp,18,5,1,1,0.6697981747030765
3,2020,Ranunculus_sp,17,5,1,1,0.664692488650854
3,2020,Potentilla_erecta,17,5,1,2,0.6701826722767099
3,2020,Lathyrus_linifolius,16,5,1,1,0.8735103905826253
3,2020,Ranunculus_sp,15,5,1,3,0.6842523726066816
3,2020,Potentilla_erecta,15,5,1,1,0.6801609410193934
3,2020,Ranunculus_sp,14,5,1,1,0.571464264205882
3,2020,Ranunculus_sp,13,5,1,1,0.5687072451766992
3,2020,Lotus_corniculatus,12,5,1,7,0.7190706855033819
3,2020,Ranunculus_sp,12,5,1,2,0.8296208267750095
3,2020,Potentilla_erecta,12,5,1,1,0.7425548584425404
3,2020,Lotus_corniculatus,10,5,1,3,0.5586581886709886
3,2020,Potentilla_erecta,10,5,1,1,0.6079109812261643
3,2020,Ranunculus_sp,9,5,1,2,0.7696759347714404
3,2020,Potentilla_erecta,8,5,1,1,0.6463930630069206
3,2020,Lotus_corniculatus,8,5,1,3,0.5650559984112702
3,2020,Ranunculus_sp,7,5,1,2,0.6026528677503866
3,2020,Ranunculus_sp,2,5,1,1,0.5973505507253876
3,2020,Ranunculus_sp,0,6,1,1,0.606483122905269
3,2020,Potentilla_erecta,4,6,1,3,0.5995642864612966
3,2020,Potentilla_erecta,5,6,1,1,0.5849318302150405
3,2020,Ranunculus_sp,5,6,1,1,0.624868775637114
3,2020,Taraxacum_sp,6,6,1,1,0.6532275303346975
3,2020,Lathyrus_linifolius,6,6,1,2,0.7184095830395748
3,2020,Potentilla_erecta,7,6,1,2,0.555439619599381
3,2020,Potentilla_erecta,8,6,1,1,0.5213554295322892
3,2020,Potentilla_erecta,9,6,1,1,0.5187636843545496
3,2020,Potentilla_erecta,12,6,1,1,0.5226115493925577
3,2020,Ranunculus_sp,14,6,1,1,0.5644124364906458
3,2020,Thymus_praecox,15,6,1,16,0.7597103327606276
3,2020,Lotus_corniculatus,16,6,1,3,0.5585479696069668
3,2020,Lathyrus_linifolius,16,6,1,1,0.7821216000195161
3,2020,Lotus_corniculatus,18,6,1,2,0.49022911434251915
3,2020,Potentilla_erecta,19,6,1,1,0.5773527421507102
3,2020,Potentilla_erecta,20,6,1,2,0.6629441234504623
3,2020,Potentilla_erecta,22,6,1,1,0.6844644536824366
