Fecha,Bosque,Planta,Flores,X,Y,Periodo,Year,Day_ISO,Day,Week_ISO,Week
2020-07-04,3,Potentilla_erecta,3,1,5,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,10,2,5,2,2020,186,83,27,12
2020-07-04,3,Rubus_sp,7,3,5,2,2020,186,83,27,12
2020-07-04,3,Prunella_grandiflora,5,4,5,2,2020,186,83,27,12
2020-07-04,3,Prunella_grandiflora,6,6,5,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,2,8,5,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,4,9,5,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,1,9,5,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,3,10,5,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,6,12,5,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,1,12,5,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,1,13,5,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,3,14,5,2,2020,186,83,27,12
2020-07-04,3,Teucrium_pyrenaicum,30,15,5,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,1,15,5,2,2020,186,83,27,12
2020-07-04,3,Prunella_grandiflora,5,16,5,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,2,16,5,2,2020,186,83,27,12
2020-07-04,3,Prunella_grandiflora,14,17,5,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,3,17,5,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,3,18,5,2,2020,186,83,27,12
2020-07-04,3,Teucrium_pyrenaicum,14,19,5,2,2020,186,83,27,12
2020-07-04,3,Hutchinsia_alpina,3,19,5,2,2020,186,83,27,12
2020-07-04,3,Thymus_praecox,25,20,5,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,3,20,5,2,2020,186,83,27,12
2020-07-04,3,Teucrium_pyrenaicum,36,20,5,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,2,21,5,2,2020,186,83,27,12
2020-07-04,3,Hutchinsia_alpina,2,21,5,2,2020,186,83,27,12
2020-07-04,3,Erica_cinerea,3,22,5,2,2020,186,83,27,12
2020-07-04,3,Thymus_praecox,6,22,5,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,7,23,5,2,2020,186,83,27,12
2020-07-04,3,Erica_vagans,1,23,5,2,2020,186,83,27,12
2020-07-04,3,Teucrium_pyrenaicum,12,23,5,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,1,24,5,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,14,1,4,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,4,2,4,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,3,2,4,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,2,3,4,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,1,3,4,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,3,5,4,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,2,5,4,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,3,6,4,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,2,7,4,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,2,8,4,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,1,8,4,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,9,10,4,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,3,10,4,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,4,11,4,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,1,11,4,2,2020,186,83,27,12
2020-07-04,3,Trifolium_pratense,13,12,4,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,2,14,4,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,4,15,4,2,2020,186,83,27,12
2020-07-04,3,Potentilla_erecta,2,15,4,2,2020,186,83,27,12
2020-07-04,3,Lotus_corniculatus,8,16,4,2,2020,186,83,27,12
2020-07-04,3,Thymus_praecox,23,16,4,2,2020,186,83,27,12
