Bosque,Codigo,Tanda,Dia,ID,Especie planta,Numero flores,GPS,x,y
Villamanrique Sur,VS,4,4.5.2020,hh13,halimium halimifolium,50,,5,4
Villamanrique Sur,VS,6,27.5.2020,hh13,halimium halimifolium,45,,5,4
Villamanrique Sur,VS,3,23.4.2020,HH14,halimium halimifolium,40,VSHH14,5,4
Villamanrique Sur,VS,4,4.5.2020,hh14,halimium halimifolium,100,,5,4
Villamanrique Sur,VS,3,23.4.2020,HH15,halimium halimifolium,20,VSHH15,1,9
Villamanrique Sur,VS,4,4.5.2020,hh15,halimium halimifolium,10,,1,9
Villamanrique Sur,VS,5,19.5.2020,hh15,halimium halimifolium,40,,1,9
Villamanrique Sur,VS,6,27.5.2020,hh15,halimium halimifolium,30,,1,9
Villamanrique Sur,VS,3,23.4.2020,HH16,halimium halimifolium,30,VSHH16,1,9
Villamanrique Sur,VS,5,19.5.2020,hh16,halimium halimifolium,120,,1,9
Villamanrique Sur,VS,6,27.5.2020,hh16,halimium halimifolium,20,,1,9
Villamanrique Sur,VS,3,23.4.2020,HH17,halimium halimifolium,35,VSHH17,7,2
Villamanrique Sur,VS,4,4.5.2020,hh17,halimium halimifolium,100,VSHH17,7,2
Villamanrique Sur,VS,3,23.4.2020,HH18,halimium halimifolium,16,VSHH18,0,1
Villamanrique Sur,VS,4,4.5.2020,hh18,halimium halimifolium,180,VSHH18,0,1
Villamanrique Sur,VS,4,4.5.2020,hh19,halimium halimifolium,140,VSHH19,3,4
Villamanrique Sur,VS,3,23.4.2020,HH2,Tolpis barbata,2,VSHH2,18,14
Villamanrique Sur,VS,3,23.4.2020,HH2,Leontodon,20,VSHH2,18,14
Villamanrique Sur,VS,3,23.4.2020,HH2,Tuberaria gutata,4,VSHH2,18,14
Villamanrique Sur,VS,3,23.4.2020,HH2,halimium halimifolium,25,VSHH2,18,14
Villamanrique Sur,VS,5,19.5.2020,hh2,halimium halimifolium,25,,18,14
Villamanrique Sur,VS,6,27.5.2020,hh2,halimium halimifolium,25,,18,14
Villamanrique Sur,VS,4,4.5.2020,hh20,halimium halimifolium,60,VSHH20,3,4
Villamanrique Sur,VS,5,19.5.2020,hh20,halimium halimifolium,80,,3,4
Villamanrique Sur,VS,6,27.5.2020,hh20,halimium halimifolium,35,,3,4
Villamanrique Sur,VS,4,4.5.2020,hh21,halimium halimifolium,25,VSHH21,3,4
Villamanrique Sur,VS,6,27.5.2020,hh21,halimium halimifolium,40,,3,4
Villamanrique Sur,VS,4,4.5.2020,hh22,halimium halimifolium,20,VSHH22,8,17
Villamanrique Sur,VS,6,27.5.2020,hh22,halimium halimifolium,6,,8,17
Villamanrique Sur,VS,4,4.5.2020,hh23,halimium halimifolium,30,VSHH23,6,21
Villamanrique Sur,VS,6,27.5.2020,hh23,halimium halimifolium,17,,6,21
Villamanrique Sur,VS,4,4.5.2020,hh24,halimium halimifolium,17,VSHH24,6,21
Villamanrique Sur,VS,5,19.5.2020,hh24,halimium halimifolium,33,,6,21
Villamanrique Sur,VS,4,4.5.2020,hh25,halimium halimifolium,30,VSHH25,9,15
Villamanrique Sur,VS,5,19.5.2020,hh25,halimium halimifolium,20,,9,15
Villamanrique Sur,VS,3,23.4.2020,HH3,Tuberaria gutata,6,VSHH3,9,12
Villamanrique Sur,VS,3,23.4.2020,HH3,Silene colorata,3,VSHH3,9,12
Villamanrique Sur,VS,3,23.4.2020,HH3,Leontodon,50,VSHH3,9,12
Villamanrique Sur,VS,3,23.4.2020,HH3,halimium halimifolium,30,VSHH3,9,12
Villamanrique Sur,VS,4,4.5.2020,hh3,Andryala integrifolia,3,,9,12
Villamanrique Sur,VS,4,4.5.2020,hh3,Tuberaria gutata,8,,9,12
Villamanrique Sur,VS,4,4.5.2020,hh3,Tolpis barbata,2,,9,12
Villamanrique Sur,VS,4,4.5.2020,hh3,Silene colorata,7,,9,12
Villamanrique Sur,VS,4,4.5.2020,hh3,Leontodon,7,,9,12
Villamanrique Sur,VS,4,4.5.2020,hh3,halimium halimifolium,100,,9,12
Villamanrique Sur,VS,3,23.4.2020,HH4,halimium halimifolium,6,VSHH4,10,10
Villamanrique Sur,VS,5,19.5.2020,hh4,halimium halimifolium,100,,10,10
Villamanrique Sur,VS,3,23.4.2020,HH5,halimium halimifolium,30,VSHH5,10,10
Villamanrique Sur,VS,3,23.4.2020,HH6,halimium halimifolium,40,VSHH6,9,4
Villamanrique Sur,VS,4,4.5.2020,hh6,Tolpis barbata,2,,9,4
Villamanrique Sur,VS,4,4.5.2020,hh6,Leontodon,3,,9,4
Villamanrique Sur,VS,4,4.5.2020,hh6,halimium halimifolium,60,,9,4
Villamanrique Sur,VS,3,23.4.2020,HH7,halimium halimifolium,20,VSHH7,9,4
Villamanrique Sur,VS,4,4.5.2020,hh7,halimium halimifolium,120,,9,4
Villamanrique Sur,VS,3,23.4.2020,HH8,halimium halimifolium,30,VSHH8,9,4
Villamanrique Sur,VS,4,4.5.2020,hh8,halimium halimifolium,100,,9,4
Villamanrique Sur,VS,5,19.5.2020,hh8,halimium halimifolium,120,,9,4
Villamanrique Sur,VS,3,23.4.2020,HH9,halimium halimifolium,60,VSHH9,9,4
Villamanrique Sur,VS,4,4.5.2020,hh9,halimium halimifolium,110,,14,21
Villamanrique Sur,VS,2,4.3.2020,LS1,Lavandula stoechas,34,VSLS1,14,21
Villamanrique Sur,VS,3,23.4.2020,LS1,Lavandula stoechas,56,,9,4
