Fecha,Hora,Bosque,Ronda,Codigo-vuelo-dia,Codigo-Vuelos,Orden_vuelo,Planta_vistada,coord_flores(x),coord_flores(y),nº visitas,coord_planta(x),coord_planta(y),planta(dentro cuadro),,,Codigo_captura,idem capturados,Order,Pollinator_genus,Pollinator_subgenus,Pollinator_species,subespecie,Pollinator_sex,morphoespecie,Det,Comments,tiempo,T (ºC),HR %,observaciones,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:15,Pinar Hinojos,6,HV6-01,HV6-01.10,10,Leontodon longirostris,1,7,1,1,7,5,,,HC6-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:15,Pinar Hinojos,6,HV6-01,HV6-01.11,11,Leontodon longirostris,1,7,1,1,7,6,,,HC6-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:15,Pinar Hinojos,6,HV6-01,HV6-01.12,12,Leontodon longirostris,1,7,1,1,7,7,,,HC6-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:15,Pinar Hinojos,6,HV6-01,HV6-01.13,13,Leontodon longirostris,1,7,1,1,7,8,,,HC6-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:15,Pinar Hinojos,6,HV6-01,HV6-01.14,14,Leontodon longirostris,1,5,1,1,5,,,,HC6-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:15,Pinar Hinojos,6,HV6-01,HV6-01.15,15,Leontodon longirostris,1,4,1,1,4,,,,HC6-01,,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.01,1,Leontodon longirostris,2,9,1,2,9,1,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.02,2,Leontodon longirostris,2,9,1,2,9,2,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.03,3,Leontodon longirostris,2,9,1,2,9,3,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.04,4,Leontodon longirostris,2,8,1,2,8,1,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.05,5,Leontodon longirostris,2,8,1,2,8,2,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.06,6,Leontodon longirostris,2,8,1,2,8,3,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.07,7,Leontodon longirostris,2,7,1,2,7,1,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.08,8,Leontodon longirostris,2,7,1,2,7,2,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.09,9,Leontodon longirostris,2,7,1,2,7,3,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.10,10,Leontodon longirostris,1,7,1,1,7,1,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.11,11,Leontodon longirostris,1,7,1,1,7,2,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.12,12,Leontodon longirostris,1,7,1,1,7,3,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.13,13,Leontodon longirostris,1,7,1,1,7,4,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.14,14,Leontodon longirostris,1,7,1,1,7,5,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.15,15,Leontodon longirostris,1,7,1,1,7,6,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.16,16,Leontodon longirostris,1,7,1,1,7,7,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.17,17,Leontodon longirostris,2,8,1,2,8,1,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
