Fecha,Bosque,ronda,SP,X,Y,planta,flores etiquetadas,frutos recogidos,abortos,comentarios,
11.03.2021,Pinar Hinojos,2,Halimiun calycinum,4,5,,5,2,3,,
11.03.2021,Pinar Hinojos,2,Halimiun calycinum,5,4,,2,2,0,,
11.03.2021,Pinar Hinojos,2,Halimiun calycinum,8,1,,5,3,2,,
11.03.2021,Pinar Hinojos,2,Halimiun calycinum,8,4,,5,4,1,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,1,1,1,5,3,2,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,1,1,2,3,1,2,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,1,1,3,3,3,0,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,2,1,,5,2,3,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,4,5,,10,3,7,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,5,4,,4,4,0,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,8,1,,9,7,2,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,8,4,,9,6,3,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,1,1,1,1,0,1,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,1,1,2,3,0,3,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,1,1,3,6,4,2,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,2,1,,9,0,9,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,3,6,,1,1,0,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,4,5,,9,4,5,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,5,4,,3,1,2,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,8,1,,9,4,5,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,8,4,,9,5,4,,
09.04.2021,Pinar Hinojos,5,Cistus libanotis,4,8,,1,1,0,,
09.04.2021,Pinar Hinojos,5,Cistus libanotis,10,7,,7,7,0,,
09.04.2021,Pinar Hinojos,5,Halimiun calycinum,1,1,2,1,1,0,,
09.04.2021,Pinar Hinojos,5,Halimiun calycinum,1,1,3,1,0,1,,
09.04.2021,Pinar Hinojos,5,Halimiun calycinum,2,1,,3,1,2,,
09.04.2021,Pinar Hinojos,5,Halimiun calycinum,4,5,,5,2,3,,
09.04.2021,Pinar Hinojos,5,Halimiun calycinum,5,4,,2,2,0,,
09.04.2021,Pinar Hinojos,5,Halimiun calycinum,8,1,,8,7,1,,
09.04.2021,Pinar Hinojos,5,Halimiun calycinum,8,4,,7,6,1,,
21.04.2021,Pinar Hinojos,6,Cistus libanotis,4,8,,11,5,6,,
21.04.2021,Pinar Hinojos,6,Cistus libanotis,10,7,,43,20,23,,
21.04.2021,Pinar Hinojos,6,Halimiun calycinum,1,1,2,1,1,0,,
21.04.2021,Pinar Hinojos,6,Halimiun calycinum,1,1,3,1,0,1,,
21.04.2021,Pinar Hinojos,6,Halimiun calycinum,2,1,,1,0,1,,
21.04.2021,Pinar Hinojos,6,Halimiun calycinum,3,6,,1,0,1,,
21.04.2021,Pinar Hinojos,6,Halimiun calycinum,4,5,,8,4,4,,
21.04.2021,Pinar Hinojos,6,Halimiun calycinum,5,4,,1,0,1,,
21.04.2021,Pinar Hinojos,6,Halimiun calycinum,8,4,,2,0,2,,
21.04.2021,Pinar Hinojos,7,Cistus libanotis,4,8,,1,1,0,,
21.04.2021,Pinar Hinojos,7,Cistus libanotis,10,7,,4,0,4,,
12.05.2021,Pinar Hinojos,8,NA,,,,,,,Ronda 8 no hay Cistáceas en el cuadro,
24.05.2021,Pinar Hinojos,9,NA,,,,,,,Ronda 9 no hay Cistáceas en el cuadro,
10.03.2021,Pinar Puebla,1,Cistus salviifolius,3,6,,5,4,1,,
10.03.2021,Pinar Puebla,1,Cistus salviifolius,6,2,,5,5,0,,
10.03.2021,Pinar Puebla,1,Cistus salviifolius,7,7,,5,4,1,,
10.03.2021,Pinar Puebla,1,Cistus salviifolius,9,4,,5,5,0,,
10.03.2021,Pinar Puebla,1,Cistus salviifolius,9,10,1,5,5,0,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,2,4,,5,4,1,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,3,6,,5,4,1,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,3,10,,5,5,0,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,6,1,1,5,5,0,,
