"","Fecha","Bosque","Ronda","SP","X","Y","i","flores_disponibles","Escapos_indivi"
"135","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,8,4,1,NA
"136","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,8,5,1,NA
"137","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,8,6,1,NA
"138","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,8,7,1,NA
"139","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,8,8,1,NA
"140","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,8,9,1,NA
"141","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,8,10,1,NA
"142","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,9,1,1,NA
"143","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,9,2,1,NA
"144","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",1,10,NA,1,NA
"145","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,4,NA,1,NA
"146","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,5,1,1,NA
"147","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,5,2,1,NA
"148","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,5,3,1,NA
"149","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,5,4,1,NA
"150","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,5,5,1,NA
"151","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,5,6,1,NA
"152","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,5,7,1,NA
"153","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,5,8,1,NA
"154","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,5,9,1,NA
"155","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,5,10,1,NA
"156","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,6,1,1,NA
"157","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,6,2,1,NA
"158","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,6,3,1,NA
"159","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,6,4,1,NA
"160","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,6,5,1,NA
"161","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",2,6,6,1,NA
