"","Bosque","Codigo","Tanda","Dia","ID","Especie.planta","Numero.flores","GPS","x","y"
"292","Villamanrique Chaparrral","VC",3,"24.4.2020","CC10","Cistus crispus",1,"VCCC10",17,11
"293","Villamanrique Chaparrral","VC",3,"24.4.2020","CC11","Cistus crispus",3,"VCCC11",19,10
"294","Villamanrique Chaparrral","VC",3,"24.4.2020","CC12","Cistus crispus",5,"VCCC12",19,10
"295","Villamanrique Chaparrral","VC",3,"24.4.2020","CC13","Cistus crispus",4,"VCCC13",19,10
"296","Villamanrique Chaparrral","VC",3,"24.4.2020","CC14","Cistus crispus",12,"VCCC14",1,9
"297","Villamanrique Chaparrral","VC",3,"24.4.2020","CC15","Cistus crispus",4,"VCCC15",2,9
"298","Villamanrique Chaparrral","VC",3,"24.4.2020","CC16","Cistus crispus",10,"VCCC16,17,18",2,9
"299","Villamanrique Chaparrral","VC",3,"24.4.2020","CC17","Cistus crispus",6,"VCCC16,17,18",2,9
"300","Villamanrique Chaparrral","VC",3,"24.4.2020","CC18","Cistus crispus",13,"VCCC16,17,18",2,9
"301","Villamanrique Chaparrral","VC",3,"24.4.2020","CC2","Cistus crispus",2,"VCCC1,2",7,2
"302","Villamanrique Chaparrral","VC",3,"24.4.2020","CC3","Cistus crispus",1,"VCCC3",6,5
"303","Villamanrique Chaparrral","VC",3,"24.4.2020","CC4","Cistus crispus",1,"VCCC4",9,3
"304","Villamanrique Chaparrral","VC",3,"24.4.2020","CC5","Cistus crispus",15,"VCCC5",9,3
"305","Villamanrique Chaparrral","VC",3,"24.4.2020","CC6","Cistus crispus",17,"VCCC6",9,3
"306","Villamanrique Chaparrral","VC",3,"24.4.2020","CC7","Cistus crispus",7,"VCCC7",11,6
"307","Villamanrique Chaparrral","VC",3,"24.4.2020","CC8","Cistus crispus",5,"VCCC8",17,11
"308","Villamanrique Chaparrral","VC",3,"24.4.2020","CC9","Cistus crispus",18,"VCCC9",17,11
"309","Villamanrique Chaparrral","VC",3,"24.4.2020","CS1","Cistus salviifolius",1,"VCCS1",0,4
"310","Villamanrique Chaparrral","VC",3,"24.4.2020","CS10","Cistus salviifolius",12,"VCCS10",11,16
"311","Villamanrique Chaparrral","VC",3,"24.4.2020","CS11","Cistus salviifolius",2,"VCCS11,12",10,12
"312","Villamanrique Chaparrral","VC",3,"24.4.2020","CS12","Cistus salviifolius",3,"VCCS11,12",10,12
"313","Villamanrique Chaparrral","VC",3,"24.4.2020","CS13","Cistus salviifolius",3,"VCCS13",15,12
"314","Villamanrique Chaparrral","VC",3,"24.4.2020","CS14","Cistus salviifolius",3,"VCCS14",24,11
"315","Villamanrique Chaparrral","VC",3,"24.4.2020","CS15","Cistus salviifolius",3,"VCCS15",24,15
"316","Villamanrique Chaparrral","VC",3,"24.4.2020","CS16","Cistus salviifolius",2,"VCCS16",24,15
"317","Villamanrique Chaparrral","VC",3,"24.4.2020","CS2","Cistus salviifolius",2,"VCCS2",0,4
"318","Villamanrique Chaparrral","VC",3,"24.4.2020","CS3","Cistus salviifolius",3,"VCCS3",4,5
"319","Villamanrique Chaparrral","VC",3,"24.4.2020","CS4","Cistus salviifolius",3,"VCCS4",4,5
"320","Villamanrique Chaparrral","VC",3,"24.4.2020","CS5","Cistus salviifolius",4,"VCCS5",7,7
"321","Villamanrique Chaparrral","VC",3,"24.4.2020","CS6","Cistus salviifolius",7,"VCCS6",10,9
"322","Villamanrique Chaparrral","VC",3,"24.4.2020","CS7","Cistus salviifolius",7,"VCCS7",11,12
"323","Villamanrique Chaparrral","VC",3,"24.4.2020","CS8","Cistus salviifolius",4,"VCCS8",11,14
"324","Villamanrique Chaparrral","VC",3,"24.4.2020","CS9","Cistus salviifolius",11,"VCCS9",11,16
"325","Villamanrique Chaparrral","VC",3,"24.4.2020","RO2","Rosmarinus officinalis",8,"PACS1",4,2
"326","Villamanrique Sur","VS",2,"4.3.2020","AR","Asphodelus racemosus",90,"",14,21
"327","Villamanrique Sur","VS",3,"23.4.2020","CC1","Leontodon hispidus",20,"VSCC1",20,16
"328","Villamanrique Sur","VS",3,"23.4.2020","CC1","Lysimachia arvensis",4,"VSCC1",20,16
"329","Villamanrique Sur","VS",3,"23.4.2020","CC1","Cistus crispus",30,"VSCC1",20,16
"330","Villamanrique Sur","VS",4,"4.5.2020","cc1","Tuberaria guttata",22,"",20,16
"331","Villamanrique Sur","VS",4,"4.5.2020","cc1","Cistus crispus",80,"",20,16
"332","Villamanrique Sur","VS",5,"19.5.2020","CC1","Silene colorata",1,"",20,16
"333","Villamanrique Sur","VS",5,"19.5.2020","CC1","Anthemis arvensis",15,"",20,16
"334","Villamanrique Sur","VS",5,"19.5.2020","CC1","Andryala integrifolia",15,"",20,16
"335","Villamanrique Sur","VS",5,"19.5.2020","CC1","Cistus crispus",70,"",20,16
"336","Villamanrique Sur","VS",6,"27.5.2020","cc1","Leontodon hispidus",5,"",20,16
