"","Bosque","Codigo","Dia","ID","Especie.planta","Frutos","id","quad","quad2","periodo","periodo2","flores","flores2","fruit_set"
"72","Pinar Puebla","PP","2.06.2020","cs22","Cistus salviifolius",50,"PPCS22","6,11","6,11",3,"3",37,37,1.35135135135135
"73","Pinar Puebla","PP","2.06.2020","cs23","Cistus salviifolius",90,"PPCS23","6,11","6,11",3,"3",24,24,3.75
"74","Pinar Puebla","PP","2.06.2020","cs24","Cistus salviifolius",67,"PPCS24","4,9","4,9",3,"3",18,18,3.72222222222222
"75","Pinar Puebla","PP","2.06.2020","cs25","Cistus salviifolius",60,"PPCS25","4,9","4,9",3,"3",18,18,3.33333333333333
"76","Pinar Puebla","PP","2.06.2020","cs26","Cistus salviifolius",160,"PPCS26","3,12","3,12",3,"3",27,27,5.92592592592593
"77","Pinar Puebla","PP","2.06.2020","cs27","Cistus salviifolius",130,"PPCS27","3,12","3,12",3,"3",7,7,18.5714285714286
"78","Pinar Puebla","PP","2.06.2020","cs29","Cistus salviifolius",100,"PPCS29","7,12","7,12",3,"3",13,13,7.69230769230769
"79","Pinar Puebla","PP","2.06.2020","cs31","Cistus salviifolius",70,"PPCS31","8,9","8,9",3,"3",8,8,8.75
"80","Pinar Puebla","PP","2.06.2020","cs32","Cistus salviifolius",50,"PPCS32","8,9","8,9",3,"3",14,14,3.57142857142857
"81","Pinar Puebla","PP","2.06.2020","cs33","Cistus salviifolius",40,"PPCS33","6,9","6,9",3,"3",8,8,5
"82","Pinar Puebla","PP","2.06.2020","cs34","Cistus salviifolius",25,"PPCS34","6,9","6,9",3,"3",4,4,6.25
"83","Pinar Puebla","PP","2.06.2020","cs35","Cistus salviifolius",70,"PPCS35","6,9","6,9",3,"3",3,3,23.3333333333333
"84","Pinar Puebla","PP","2.06.2020","cs36","Cistus salviifolius",70,"PPCS36","7,7","7,7",3,"3",8,8,8.75
"85","Pinar Puebla","PP","2.06.2020","cs37","Cistus salviifolius",45,"PPCS37","22,2","22,2",3,"3",8,8,5.625
"86","Pinar Puebla","PP","2.06.2020","cs38","Cistus salviifolius",34,"PPCS38","22,6","22,6",3,"3",6,6,5.66666666666667
"87","Pinar Puebla","PP","2.06.2020","cs40","Cistus salviifolius",47,"PPCS40","20,4","20,4",3,"3",15,15,3.13333333333333
"88","Pinar Puebla","PP","2.06.2020","cs41","Cistus salviifolius",40,"PPCS41","18,4","18,4",3,"3",8,8,5
"89","Pinar Puebla","PP","2.06.2020","cs42","Cistus salviifolius",50,"PPCS42","18,9","18,9",3,"3",13,13,3.84615384615385
"90","Pinar Puebla","PP","2.06.2020","cs43","Cistus salviifolius",33,"PPCS43","18,9","18,9",3,"3",9,9,3.66666666666667
"91","Pinar Puebla","PP","2.06.2020","cs44","Cistus salviifolius",40,"PPCS44","18,9","18,9",3,"3",5,5,8
