Fecha,Bosque,ronda,Planta,X,Y,labelled_flowers,number_fruits,abortos,Year,Day_ISO,Day,Week_ISO,Week,Periodo
2021-03-02,Pinar Hinojos,1,Halimium_calycinum,1,1,5,5,0,2021,61,1,09,1,1
2021-03-02,Pinar Hinojos,1,Halimium_calycinum,4,5,5,3,2,2021,61,1,09,1,1
2021-03-02,Pinar Hinojos,1,Halimium_calycinum,5,4,3,3,0,2021,61,1,09,1,1
2021-03-02,Pinar Hinojos,1,Halimium_calycinum,8,1,5,4,1,2021,61,1,09,1,1
2021-03-02,Pinar Hinojos,1,Halimium_calycinum,8,4,5,4,1,2021,61,1,09,1,1
2021-03-11,Pinar Hinojos,2,Halimium_calycinum,2,1,5,4,1,2021,70,10,10,2,1
2021-03-11,Pinar Hinojos,2,Halimium_calycinum,3,6,3,1,2,2021,70,10,10,2,1
2021-03-11,Pinar Hinojos,2,Halimium_calycinum,4,5,5,2,3,2021,70,10,10,2,1
2021-03-11,Pinar Hinojos,2,Halimium_calycinum,5,4,2,2,0,2021,70,10,10,2,1
2021-03-11,Pinar Hinojos,2,Halimium_calycinum,8,1,5,3,2,2021,70,10,10,2,1
2021-03-11,Pinar Hinojos,2,Halimium_calycinum,8,4,5,4,1,2021,70,10,10,2,1
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,1,1,5,3,2,2021,78,18,11,3,1
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,1,1,3,1,2,2021,78,18,11,3,1
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,1,1,3,3,0,2021,78,18,11,3,1
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,2,1,5,2,3,2021,78,18,11,3,1
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,4,5,10,3,7,2021,78,18,11,3,1
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,5,4,4,4,0,2021,78,18,11,3,1
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,8,1,9,7,2,2021,78,18,11,3,1
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,8,4,9,6,3,2021,78,18,11,3,1
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,1,1,1,0,1,2021,90,30,13,5,1
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,1,1,3,0,3,2021,90,30,13,5,1
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,1,1,6,4,2,2021,90,30,13,5,1
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,2,1,9,0,9,2021,90,30,13,5,1
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,3,6,1,1,0,2021,90,30,13,5,1
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,4,5,9,4,5,2021,90,30,13,5,1
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,5,4,3,1,2,2021,90,30,13,5,1
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,8,1,9,4,5,2021,90,30,13,5,1
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,8,4,9,5,4,2021,90,30,13,5,1
2021-04-09,Pinar Hinojos,5,Cistus_libanotis,4,8,1,1,0,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Cistus_libanotis,10,7,7,7,0,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,1,1,1,1,0,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,1,1,1,0,1,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,2,1,3,1,2,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,4,5,5,2,3,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,5,4,2,2,0,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,8,1,8,7,1,2021,99,39,14,6,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,8,4,7,6,1,2021,99,39,14,6,2
2021-04-21,Pinar Hinojos,6,Cistus_libanotis,4,8,11,5,6,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Cistus_libanotis,10,7,43,20,23,2021,111,51,16,8,2
