Fecha,Bosque,ronda,Planta,X,Y,labelled_flowers,number_fruits,abortos,Year,Day_ISO,Day,Week_ISO,Week,Periodo,Subplot,fruitset,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,unloyal_steps,poll_abundance,log_prob_cons
2021-04-12,Pinar Villamanrique Este (Chaparral),5,Cistus_salviifolius,3,7,5,4,1,2021,102,42,15,6,April,3-7,0.8,3-7 Cistus_salviifolius,2,4,0,0.9774826874154019,1,1,6,0,1,-0.009890925826256116
2021-04-12,Pinar Villamanrique Este (Chaparral),5,Cistus_salviifolius,6,6,5,5,0,2021,102,42,15,6,April,6-6,0.999,6-6 Cistus_salviifolius,4,2,0,0.9987794257447726,1,2,39,0,1,-5.304124335699412e-4
2021-04-12,Pinar Villamanrique Este (Chaparral),5,Cistus_salviifolius,7,8,5,5,0,2021,102,42,15,6,April,7-8,0.999,7-8 Cistus_salviifolius,12,8,2,0.999119240530015,3,1,22,1,3,-3.8267752587495344e-4
2021-04-12,Pinar Villamanrique Este (Chaparral),5,Cistus_salviifolius,7,9,5,5,0,2021,102,42,15,6,April,7-9,0.999,7-9 Cistus_salviifolius,3,4,4,0.968769596967224,1,2,20,1,2,-0.013779499176064273
2021-04-22,Pinar Villamanrique Este (Chaparral),6,Cistus_salviifolius,1,8,5,4,1,2021,112,52,16,8,April,1-8,0.8,1-8 Cistus_salviifolius,5,7,3,0.9986767334550166,1,1,12,0,1,-5.750679266168639e-4
2021-04-22,Pinar Villamanrique Este (Chaparral),6,Cistus_salviifolius,2,6,5,4,1,2021,112,52,16,8,April,2-6,0.8,2-6 Cistus_salviifolius,2,1,1,0.9988783657193432,1,1,22,0,1,-4.873929682597368e-4
2021-04-22,Pinar Villamanrique Este (Chaparral),6,Cistus_salviifolius,5,6,5,5,0,2021,112,52,16,8,April,5-6,0.999,5-6 Cistus_salviifolius,6,6,3,0.9990410075747123,1,1,6,0,1,-4.166849492941212e-4
2021-03-15,Pinar Villamanrique Sur,2,Cistus_salviifolius,1,6,5,5,0,2021,74,14,11,2,March,1-6,0.999,1-6 Cistus_salviifolius,88,8,2,0.9999767339841847,2,1,11,1,3,-1.0104419829692693e-5
2021-03-15,Pinar Villamanrique Sur,2,Cistus_salviifolius,2,3,5,4,1,2021,74,14,11,2,March,2-3,0.8,2-3 Cistus_salviifolius,8,4,0,0.9999824420726054,1,1,8,0,1,-7.6253779242234946e-6
2021-03-15,Pinar Villamanrique Sur,2,Cistus_salviifolius,2,9,5,5,0,2021,74,14,11,2,March,2-9,0.999,2-9 Cistus_salviifolius,32,7,0,0.9999861773985499,1,1,9,0,1,-6.003121024800329e-6
