Bosque,X,Y,Planta,Subplot_Plant_Label,Periodo,labelled_flowers,number_fruits,fruitset,Visits_tot,homo_motif,hete_motif,Year,Flores,prob_consp_step,poll_richness,plant_richness,total_number_flowers,total_steps,unloyal_steps,total_sequences
Pinar Aznalcazar,7,2,Cistus_salviifolius,7-2 Cistus_salviifolius,March,5,5,1,48,47,0,2021,1,0.9999973361580913,4,1,16,12,NA,6
Pinar Aznalcazar,7,2,Cistus_salviifolius,7-2 Cistus_salviifolius,March,5,5,1,48,47,0,2021,7,0.9999973361580913,4,1,16,12,NA,6
Pinar Aznalcazar,7,2,Cistus_salviifolius,7-2 Cistus_salviifolius,March,5,5,1,48,47,0,2021,8,0.9999973361580913,4,1,16,12,NA,6
Pinar Aznalcazar,7,3,Cistus_crispus,7-3 Cistus_crispus,April,6,4,0.6666666666666666,2,14,0,2021,1,0.9999972999810277,1,1,14,1,NA,1
Pinar Aznalcazar,7,3,Cistus_crispus,7-3 Cistus_crispus,April,6,4,0.6666666666666666,2,14,0,2021,13,0.9999972999810277,1,1,14,1,NA,1
Pinar Aznalcazar,7,3,Cistus_crispus,7-3 Cistus_crispus,May,5,3,0.6,3,15,0,2021,9,0.999997614390147,1,1,13,1,NA,1
Pinar Aznalcazar,7,3,Cistus_crispus,7-3 Cistus_crispus,May,5,3,0.6,3,15,0,2021,4,0.999997614390147,1,1,13,1,NA,1
Pinar Aznalcazar,7,6,Cistus_crispus,7-6 Cistus_crispus,April,1,1,1,15,46,10,NA,NA,NA,3,1,2,7,NA,5
Pinar Aznalcazar,7,7,Cistus_crispus,7-7 Cistus_crispus,April,1,0,0,12,29,10,NA,NA,NA,3,NA,NA,4,NA,4
Pinar Aznalcazar,8,3,Cistus_salviifolius,8-3 Cistus_salviifolius,March,5,5,1,28,16,0,2021,8,0.9999981022695879,2,1,23,6,NA,3
Pinar Aznalcazar,8,3,Cistus_salviifolius,8-3 Cistus_salviifolius,March,5,5,1,28,16,0,2021,15,0.9999981022695879,2,1,23,6,NA,3
Pinar Aznalcazar,8,3,Cistus_salviifolius,8-3 Cistus_salviifolius,April,6,5,0.8333333333333334,90,25,5,2021,18,0.9999977313185504,2,1,19,18,NA,2
Pinar Aznalcazar,8,3,Cistus_salviifolius,8-3 Cistus_salviifolius,April,6,5,0.8333333333333334,90,25,5,2021,1,0.9999977313185504,2,1,19,18,NA,2
Pinar Aznalcazar,8,6,Cistus_crispus,8-6 Cistus_crispus,April,2,1,0.5,21,39,4,NA,NA,NA,2,NA,NA,8,NA,5
Pinar Aznalcazar,8,7,Cistus_crispus,8-7 Cistus_crispus,April,3,3,1,110,67,10,2021,18,0.9999973023722962,3,1,59,40,NA,8
Pinar Aznalcazar,8,7,Cistus_crispus,8-7 Cistus_crispus,April,3,3,1,110,67,10,2021,41,0.9999973023722962,3,1,59,40,NA,8
Pinar Aznalcazar,8,8,Cistus_crispus,8-8 Cistus_crispus,April,6,4,0.6666666666666666,14,10,0,NA,NA,NA,2,NA,NA,5,NA,2
Pinar Aznalcazar,8,10,Cistus_salviifolius,8-10 Cistus_salviifolius,March,5,5,1,12,8,0,2021,2,0.9999982585562555,1,1,24,3,NA,1
Pinar Aznalcazar,8,10,Cistus_salviifolius,8-10 Cistus_salviifolius,March,5,5,1,12,8,0,2021,22,0.9999982585562555,1,1,24,3,NA,1
Pinar Aznalcazar,8,10,Cistus_salviifolius,8-10 Cistus_salviifolius,April,6,3,0.5,NA,NA,NA,2021,6,0.999997819686645,NA,1,7,NA,NA,NA
