Fecha,Bosque,ronda,Planta,X,Y,labelled_flowers,number_fruits,abortos,Year,Day_ISO,Day,Week_ISO,Week,Periodo,Subplot,fruitset,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers
2021-04-28,Pinar Aznalcazar,6,Cistus_crispus,2,1,5,3,2,2021,118,58,17,9,April,2-1,0.6,2-1 Cistus_crispus,NA,NA,NA,0.9999999990102434,NA,1,6
2021-04-28,Pinar Aznalcazar,6,Cistus_crispus,2,6,5,5,0,2021,118,58,17,9,April,2-6,1,2-6 Cistus_crispus,NA,NA,NA,0.9999999990102434,NA,1,19
2021-04-28,Pinar Aznalcazar,6,Cistus_crispus,4,7,5,5,0,2021,118,58,17,9,April,4-7,1,4-7 Cistus_crispus,10,5,0,0.9999999990102434,3,1,52
2021-04-28,Pinar Aznalcazar,6,Cistus_crispus,6,2,5,2,3,2021,118,58,17,9,April,6-2,0.4,6-2 Cistus_crispus,NA,NA,NA,0.9999999990102434,NA,2,17
2021-04-28,Pinar Aznalcazar,6,Cistus_crispus,7,3,5,3,2,2021,118,58,17,9,April,7-3,0.6,7-3 Cistus_crispus,NA,NA,NA,0.9999999990102434,NA,1,13
2021-04-28,Pinar Aznalcazar,6,Cistus_crispus,9,7,1,1,0,2021,118,58,17,9,April,9-7,1,9-7 Cistus_crispus,NA,NA,NA,NA,NA,NA,NA
2021-04-28,Pinar Aznalcazar,6,Cistus_crispus,9,8,4,3,1,2021,118,58,17,9,April,9-8,0.75,9-8 Cistus_crispus,NA,NA,NA,NA,NA,NA,NA
2021-04-28,Pinar Aznalcazar,6,Halimium_halimifolium,9,6,2,0,2,2021,118,58,17,9,April,9-6,0,9-6 Halimium_halimifolium,NA,NA,NA,NA,NA,1,2
2021-04-28,Pinar Aznalcazar,6,Halimium_halimifolium,10,8,20,14,6,2021,118,58,17,9,April,10-8,0.7,10-8 Halimium_halimifolium,NA,NA,NA,NA,NA,1,92
2021-04-28,Pinar Aznalcazar,6,Halimium_halimifolium,10,8,15,7,8,2021,118,58,17,9,April,10-8,0.4666666666666667,10-8 Halimium_halimifolium,NA,NA,NA,NA,NA,1,92
2021-04-28,Pinar Aznalcazar,6,Halimium_halimifolium,10,9,4,2,2,2021,118,58,17,9,April,10-9,0.5,10-9 Halimium_halimifolium,NA,NA,NA,NA,NA,1,4
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,1,1,5,5,0,2021,127,67,18,10,May,1-1,1,1-1 Cistus_crispus,3,3,4,0.24818379742954388,1,2,34
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,1,2,5,4,1,2021,127,67,18,10,May,1-2,0.8,1-2 Cistus_crispus,11,5,4,0.08930487570863058,2,2,8
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,1,3,5,5,0,2021,127,67,18,10,May,1-3,1,1-3 Cistus_crispus,4,4,4,0.4688906869285171,2,2,20
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,2,1,5,5,0,2021,127,67,18,10,May,2-1,1,2-1 Cistus_crispus,7,3,5,0.5446966832459298,2,2,56
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,2,3,5,5,0,2021,127,67,18,10,May,2-3,1,2-3 Cistus_crispus,20,6,7,0.5435340718040994,4,2,38
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,2,6,5,5,0,2021,127,67,18,10,May,2-6,1,2-6 Cistus_crispus,8,9,0,0.5441980866758064,2,1,19
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,4,7,5,3,2,2021,127,67,18,10,May,4-7,0.6,4-7 Cistus_crispus,25,16,4,0.5466695220412132,2,1,44
