Bosque,Planta,X,Y,Week_ISO,Periodo,prob_consp_step
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,4,2,14,2,1
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,6,6,14,2,1
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,7,9,14,2,0.9999999999999996
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,8,3,14,2,1
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,9,6,14,2,1
Pinar Villamanrique Este (Chaparral),Cistus_crispus,3,1,15,2,2.0349813079783448e-199
Pinar Villamanrique Este (Chaparral),Cistus_crispus,4,5,15,2,8.359046350187384e-20
Pinar Villamanrique Este (Chaparral),Cistus_crispus,5,4,15,2,6.314191510612333e-154
Pinar Villamanrique Este (Chaparral),Cistus_crispus,6,1,15,2,1.1434362323438814e-52
Pinar Villamanrique Este (Chaparral),Cistus_crispus,6,4,15,2,2.1013143031461248e-141
Pinar Villamanrique Este (Chaparral),Cistus_crispus,6,5,15,2,1.2584561546888616e-33
Pinar Villamanrique Este (Chaparral),Cistus_crispus,6,6,15,2,0
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,1,1,15,2,0.9985771926203499
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,1,8,15,2,0.9990512366733402
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,2,6,15,2,0.9990512366733402
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,3,7,15,2,0.9995253516285502
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,4,2,15,2,0.9995255057642802
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,5,4,15,2,0.9995255057642802
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,6,6,15,2,0.9990512366733402
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,7,8,15,2,0.9990512366733402
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,7,9,15,2,0.9995255057617839
Pinar Villamanrique Este (Chaparral),Cistus_salviifolius,8,3,15,2,0.9990512366733402
Pinar Villamanrique Este (Chaparral),Cistus_crispus,1,2,16,2,0.994522807289006
Pinar Villamanrique Este (Chaparral),Cistus_crispus,1,4,16,2,0.9945228072890062
Pinar Villamanrique Este (Chaparral),Cistus_crispus,2,5,16,2,0.9945228072890062
Pinar Villamanrique Este (Chaparral),Cistus_crispus,4,7,16,2,0.9945228072890062
