Bosque,Year,Planta,X,Y,Periodo,Flores,prob_consp_step
Pinar Aznalcazar,2021,Galactites_tomentosus,4,2,3,1,0.9999989938891392
Pinar Aznalcazar,2021,Galactites_tomentosus,4,3,3,1,0.9999988579901696
Pinar Aznalcazar,2021,Galactites_tomentosus,4,4,3,1,0.9999980373010198
Pinar Aznalcazar,2021,Galactites_tomentosus,4,4,3,2,0.9999980373010198
Pinar Aznalcazar,2021,Galactites_tomentosus,5,1,3,4,0.9999990605947533
Pinar Aznalcazar,2021,Galactites_tomentosus,5,2,3,2,0.9999989511732812
Pinar Aznalcazar,2021,Galactites_tomentosus,5,3,3,2,0.9999980772648978
Pinar Aznalcazar,2021,Galactites_tomentosus,5,3,3,1,0.9999980772648978
Pinar Aznalcazar,2021,Galactites_tomentosus,1,3,3,1,0.9999926541341077
Pinar Aznalcazar,2021,Galactites_tomentosus,1,3,3,3,0.9999926541341077
Pinar Aznalcazar,2021,Galactites_tomentosus,2,3,3,1,0.9999880850720239
Pinar Aznalcazar,2021,Galactites_tomentosus,3,3,3,1,0.9999989876612824
Pinar Aznalcazar,2021,Galactites_tomentosus,1,4,3,1,0.999999021195281
Pinar Aznalcazar,2021,Galactites_tomentosus,2,4,3,1,0.9999989466363663
Pinar Aznalcazar,2021,Galactites_tomentosus,3,4,3,1,0.9999988273974691
Pinar Aznalcazar,2021,Galactites_tomentosus,1,5,3,1,0.9999989852781661
Pinar Aznalcazar,2021,Galactites_tomentosus,2,5,3,1,0.9999988863916958
Pinar Aznalcazar,2021,Galactites_tomentosus,3,5,3,1,0.9999971828767952
Pinar Aznalcazar,2021,Galactites_tomentosus,3,5,3,4,0.9999971828767952
Pinar Aznalcazar,2021,Galactites_tomentosus,3,5,3,2,0.9999971828767952
Pinar Aznalcazar,2021,Galactites_tomentosus,1,1,3,1,0.9999978231526014
Pinar Aznalcazar,2021,Galactites_tomentosus,1,1,3,2,0.9999978231526014
Pinar Aznalcazar,2021,Galactites_tomentosus,2,1,3,1,0.9999916025636754
Pinar Aznalcazar,2021,Galactites_tomentosus,2,1,3,2,0.9999916025636754
Pinar Aznalcazar,2021,Galactites_tomentosus,2,1,3,3,0.9999916025636754
Pinar Aznalcazar,2021,Galactites_tomentosus,2,1,3,4,0.9999916025636754
Pinar Aznalcazar,2021,Galactites_tomentosus,2,1,3,5,0.9999916025636754
Pinar Aznalcazar,2021,Galactites_tomentosus,2,1,3,6,0.9999916025636754
Pinar Aznalcazar,2021,Galactites_tomentosus,2,1,3,7,0.9999916025636754
Pinar Aznalcazar,2021,Galactites_tomentosus,2,1,3,8,0.9999916025636754
Pinar Aznalcazar,2021,Galactites_tomentosus,2,1,3,9,0.9999916025636754
Pinar Aznalcazar,2021,Galactites_tomentosus,3,1,3,1,0.9999954442370829
Pinar Aznalcazar,2021,Galactites_tomentosus,1,2,3,1,0.9999985209930826
Pinar Aznalcazar,2021,Galactites_tomentosus,3,1,3,3,0.9999954442370829
Pinar Aznalcazar,2021,Galactites_tomentosus,3,1,3,2,0.9999954442370829
Pinar Aznalcazar,2021,Galactites_tomentosus,6,7,3,1,0.9999969529923093
Pinar Aznalcazar,2021,Aetheorhiza_bulbosa,6,3,3,1,0.9999921761727183
Pinar Aznalcazar,2021,Aetheorhiza_bulbosa,7,1,3,1,0.9999908608029661
Pinar Aznalcazar,2021,Aetheorhiza_bulbosa,8,1,3,1,0.999991347857193
Pinar Aznalcazar,2021,Aetheorhiza_bulbosa,9,1,3,1,0.9999918273511086
Pinar Aznalcazar,2021,Aetheorhiza_bulbosa,7,2,3,1,0.9999826876217405
Pinar Aznalcazar,2021,Cistus_crispus,1,1,3,1,0.9999962392419223
Pinar Aznalcazar,2021,Cistus_crispus,1,2,3,1,0.9999973351049557
Pinar Aznalcazar,2021,Cistus_crispus,2,1,3,3,0.9999973480875018
Pinar Aznalcazar,2021,Cistus_crispus,3,1,3,2,0.9999975183930678
Pinar Aznalcazar,2021,Cistus_crispus,1,3,3,3,0.9999974155990898
Pinar Aznalcazar,2021,Cistus_crispus,2,3,3,3,0.9999974766918334
Pinar Aznalcazar,2021,Cistus_crispus,1,7,3,1,0.9999975023942063
Pinar Aznalcazar,2021,Cistus_crispus,1,8,3,1,0.9999974314380524
Pinar Aznalcazar,2021,Cistus_crispus,1,9,3,1,0.9999975282303651
Pinar Aznalcazar,2021,Cistus_crispus,2,6,3,1,0.9999975991373389
Pinar Aznalcazar,2021,Cistus_crispus,4,7,3,4,0.999997526617981
Pinar Aznalcazar,2021,Cistus_crispus,5,7,3,2,0.9999975340551602
Pinar Aznalcazar,2021,Cistus_crispus,7,3,3,4,0.999997614390147
Pinar Aznalcazar,2021,Cistus_crispus,9,2,3,3,0.9999976274413086
Pinar Aznalcazar,2021,Cistus_crispus,8,7,3,13,0.9999976292003786
Pinar Aznalcazar,2021,Halimium_halimifolium,9,6,3,12,0.9999921661007484
Pinar Aznalcazar,2021,Halimium_halimifolium,10,8,3,48,0.9999839729926361
Pinar Aznalcazar,2021,Halimium_halimifolium,10,8,3,23,0.9999839729926361
Pinar Aznalcazar,2021,Halimium_halimifolium,10,9,3,14,0.9999916142969006
Pinar Aznalcazar,2021,Halimium_halimifolium,8,10,3,11,0.999992169382691
Pinar Aznalcazar,2021,Halimium_halimifolium,9,6,3,2,0.9999921661007484
Pinar Aznalcazar,2021,Halimium_halimifolium,10,8,3,2,0.9999839729926361
Pinar Aznalcazar,2021,Halimium_halimifolium,10,8,3,3,0.9999839729926361
Pinar Aznalcazar,2021,Halimium_halimifolium,10,9,3,2,0.9999916142969006
Pinar Aznalcazar,2021,Halimium_halimifolium,8,10,3,1,0.999992169382691
Pinar Hinojos,2021,Halimium_calycinum,1,1,1,8,0.6799999932308718
Pinar Hinojos,2021,Halimium_calycinum,4,5,1,32,0.8399999954872479
Pinar Hinojos,2021,Halimium_calycinum,5,4,1,3,0.5200138718703667
Pinar Hinojos,2021,Halimium_calycinum,8,1,1,9,0.6800015590896742
Pinar Hinojos,2021,Ulex_australis,3,3,1,42,0.7673656759123184
Pinar Hinojos,2021,Ulex_australis,4,1,1,114,0.8518518497626147
Pinar Hinojos,2021,Ulex_australis,6,4,1,98,0.8518517940893414
Pinar Hinojos,2021,Ulex_australis,7,3,1,78,0.7777777756881764
Pinar Hinojos,2021,Ulex_australis,7,4,1,21,0.29629629311934863
Pinar Hinojos,2021,Ulex_australis,8,5,1,62,0.666676382832461
Pinar Hinojos,2021,Ulex_australis,8,7,1,39,0.5736224789612638
Pinar Hinojos,2021,Ulex_australis,8,9,1,87,0.8518517853957666
Pinar Hinojos,2021,Ulex_australis,8,10,1,96,0.7037038727052812
Pinar Hinojos,2021,Ulex_australis,9,5,1,123,0.8518518497626147
Pinar Hinojos,2021,Ulex_australis,10,2,1,94,0.8518518496972923
Pinar Hinojos,2021,Halimium_calycinum,1,1,1,1,0.6799999932308718
Pinar Hinojos,2021,Halimium_calycinum,1,1,1,2,0.6799999932308718
Pinar Hinojos,2021,Halimium_calycinum,2,1,1,5,0.679999997743591
Pinar Hinojos,2021,Halimium_calycinum,3,6,1,3,0.679999997743624
Pinar Hinojos,2021,Halimium_calycinum,4,5,1,9,0.8399999954872479
Pinar Hinojos,2021,Halimium_calycinum,5,4,1,2,0.5200138718703667
Pinar Hinojos,2021,Halimium_calycinum,8,1,1,6,0.6800015590896742
Pinar Hinojos,2021,Ulex_australis,3,3,1,27,0.7673656759123184
Pinar Hinojos,2021,Ulex_australis,4,1,1,42,0.8518518497626147
Pinar Hinojos,2021,Ulex_australis,6,4,1,33,0.8518517940893414
Pinar Hinojos,2021,Ulex_australis,7,3,1,43,0.7777777756881764
Pinar Hinojos,2021,Ulex_australis,7,4,1,12,0.29629629311934863
Pinar Hinojos,2021,Ulex_australis,8,5,1,32,0.666676382832461
Pinar Hinojos,2021,Ulex_australis,8,7,1,21,0.5736224789612638
Pinar Hinojos,2021,Ulex_australis,8,9,1,36,0.8518517853957666
Pinar Hinojos,2021,Ulex_australis,9,5,1,57,0.8518518497626147
Pinar Hinojos,2021,Ulex_australis,10,2,1,45,0.8518518496972923
Pinar Hinojos,2021,Halimium_calycinum,1,1,1,5,0.6799999932308718
Pinar Hinojos,2021,Halimium_calycinum,1,1,1,3,0.6799999932308718
Pinar Hinojos,2021,Halimium_calycinum,3,6,1,1,0.679999997743624
Pinar Hinojos,2021,Halimium_calycinum,4,5,1,52,0.8399999954872479
Pinar Hinojos,2021,Halimium_calycinum,5,4,1,4,0.5200138718703667
Pinar Hinojos,2021,Halimium_calycinum,8,1,1,28,0.6800015590896742
Pinar Hinojos,2021,Ulex_australis,3,3,1,19,0.7673656759123184
Pinar Hinojos,2021,Ulex_australis,6,4,1,5,0.8518517940893414
Pinar Hinojos,2021,Halimium_calycinum,1,1,1,6,0.6799999932308718
Pinar Hinojos,2021,Halimium_calycinum,2,1,1,12,0.679999997743591
Pinar Hinojos,2021,Halimium_calycinum,4,5,1,74,0.8399999954872479
Pinar Hinojos,2021,Halimium_calycinum,8,1,1,35,0.6800015590896742
Pinar Hinojos,2021,Leontodon_longirostris,1,10,1,1,0.999999990598433
Pinar Hinojos,2021,Leontodon_longirostris,5,7,1,1,0.999999990598433
Pinar Hinojos,2021,Leontodon_longirostris,10,8,1,1,0.999999990598433
Pinar Hinojos,2021,Aetheorhiza_bulbosa,10,7,2,1,0.9999999858976496
Pinar Hinojos,2021,Aetheorhiza_bulbosa,10,8,2,1,0.4999999858976496
Pinar Hinojos,2021,Cistus_libanotis,4,8,2,1,0.9999999887181197
Pinar Hinojos,2021,Cistus_libanotis,10,7,2,7,0.9999999887181197
Pinar Hinojos,2021,Halimium_calycinum,1,1,2,1,0.9999999974359363
Pinar Hinojos,2021,Halimium_calycinum,2,1,2,3,0.9999999948718726
Pinar Hinojos,2021,Halimium_calycinum,4,5,2,27,0.9999999948718726
Pinar Hinojos,2021,Halimium_calycinum,5,4,2,2,0.8194153032285113
Pinar Hinojos,2021,Halimium_calycinum,8,1,2,22,0.9999999974359363
Pinar Hinojos,2021,Halimium_calycinum,8,4,2,13,0.9999999948718726
Pinar Hinojos,2021,Muscari_comosum,6,2,2,30,0.9999999717952992
Pinar Hinojos,2021,Bartsia_trixago,10,6,2,6,0.4999999858977669
Pinar Hinojos,2021,Cistus_libanotis,4,8,2,11,0.9999999887181197
Pinar Hinojos,2021,Cistus_libanotis,10,7,2,43,0.9999999887181197
Pinar Hinojos,2021,Halimium_calycinum,2,1,2,1,0.9999999948718726
Pinar Hinojos,2021,Halimium_calycinum,3,6,2,1,0.8181818323476965
Pinar Hinojos,2021,Halimium_calycinum,4,5,2,8,0.9999999948718726
Pinar Hinojos,2021,Halimium_calycinum,5,4,2,4,0.8194153032285113
Pinar Hinojos,2021,Halimium_calycinum,8,4,2,2,0.9999999948718726
Pinar Hinojos,2021,Leontodon_longirostris,1,3,2,1,0.9999999991941514
Pinar Hinojos,2021,Leontodon_longirostris,1,4,2,1,0.9999999991941514
