Bosque,X,Y,Planta,Subplot_Plant_Label,Periodo,labelled_flowers,number_fruits,fruitset,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,total_steps,unloyal_steps,total_sequences
Pinar Puebla,4,6,Cistus_salviifolius,4-6 Cistus_salviifolius,April,4,2,0.5,NA,NA,NA,NA,NA,3,29,NA,NA,NA
Pinar Puebla,5,1,Cistus_salviifolius,5-1 Cistus_salviifolius,April,2,2,1,NA,NA,NA,NA,NA,3,11,NA,NA,NA
Pinar Puebla,5,7,Cistus_salviifolius,5-7 Cistus_salviifolius,April,2,2,1,NA,NA,NA,NA,NA,2,15,NA,NA,NA
Pinar Puebla,6,1,Cistus_salviifolius,6-1 Cistus_salviifolius,March,20,19,0.95,148,55,0,0.36324506887744173,7,1,56,22,NA,11
Pinar Puebla,6,1,Cistus_salviifolius,6-1 Cistus_salviifolius,April,2,2,1,NA,NA,NA,NA,NA,2,6,NA,NA,NA
Pinar Puebla,6,2,Cistus_salviifolius,6-2 Cistus_salviifolius,March,15,12,0.8,115,46,8,0.3612741661255264,7,1,26,21,1,11
Pinar Puebla,7,1,Cistus_salviifolius,7-1 Cistus_salviifolius,March,5,5,1,71,34,0,0.3828715775056311,4,2,290,18,NA,6
Pinar Puebla,7,7,Cistus_salviifolius,7-7 Cistus_salviifolius,March,15,14,0.9333333333333333,4,0,4,0.17962374524454017,1,1,35,NA,NA,NA
Pinar Puebla,8,6,Cistus_crispus,8-6 Cistus_crispus,April,2,2,1,21,24,3,0.8921673075198937,1,2,29,7,NA,3
Pinar Puebla,8,6,Cistus_crispus,8-6 Cistus_crispus,May,3,1,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinar Puebla,8,7,Cistus_crispus,8-7 Cistus_crispus,April,1,1,1,12,24,3,0.8840430676199823,1,2,24,2,NA,1
Pinar Puebla,8,7,Cistus_crispus,8-7 Cistus_crispus,May,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinar Puebla,9,2,Cistus_salviifolius,9-2 Cistus_salviifolius,March,5,4,0.8,14,10,0,0.08556509740837996,1,2,18,4,NA,2
Pinar Puebla,9,2,Cistus_salviifolius,9-2 Cistus_salviifolius,April,1,0,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA
Pinar Puebla,9,4,Cistus_salviifolius,9-4 Cistus_salviifolius,March,15,15,1,35,20,10,0.13401969010727935,3,1,27,5,NA,2
Pinar Puebla,9,4,Cistus_salviifolius,9-4 Cistus_salviifolius,April,1,0,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA
Pinar Puebla,9,6,Cistus_crispus,9-6 Cistus_crispus,April,4,3,0.75,6,15,0,0.9325619012687698,1,1,8,2,NA,2
Pinar Puebla,9,6,Cistus_crispus,9-6 Cistus_crispus,May,4,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinar Puebla,9,7,Cistus_crispus,9-7 Cistus_crispus,April,2,2,1,9,9,3,0.7738624139732815,1,3,23,3,1,1
Pinar Puebla,9,7,Cistus_crispus,9-7 Cistus_crispus,May,4,1,0.25,NA,NA,NA,NA,NA,1,16,NA,NA,NA
Pinar Puebla,9,10,Cistus_salviifolius,9-10 Cistus_salviifolius,March,15,14,0.9333333333333333,76,4,3,0.11239339770192334,2,1,62,14,NA,4
Pinar Puebla,10,6,Cistus_crispus,10-6 Cistus_crispus,May,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinar Puebla,10,7,Cistus_crispus,10-7 Cistus_crispus,April,4,4,1,21,18,3,0.8825089212812105,2,2,15,6,NA,2
Pinar Villamanrique Este (Chaparral),1,1,Cistus_salviifolius,1-1 Cistus_salviifolius,April,5,5,1,25,5,0,0.9999999998785409,1,1,49,4,NA,1
Pinar Villamanrique Este (Chaparral),1,2,Cistus_crispus,1-2 Cistus_crispus,April,5,3,0.6,16,36,0,0.49646477101437186,2,2,17,4,NA,3
Pinar Villamanrique Este (Chaparral),1,2,Cistus_crispus,1-2 Cistus_crispus,May,5,0,0,71,78,0,0.8729751203760492,5,1,21,19,NA,6
Pinar Villamanrique Este (Chaparral),1,3,Cistus_crispus,1-3 Cistus_crispus,May,10,8,0.8,342,188,4,0.999689329596818,9,1,40,98,NA,16
Pinar Villamanrique Este (Chaparral),1,4,Cistus_crispus,1-4 Cistus_crispus,April,5,4,0.8,20,28,4,0.5637022788723124,2,1,7,5,NA,2
Pinar Villamanrique Este (Chaparral),1,4,Cistus_crispus,1-4 Cistus_crispus,May,10,10,1,332,160,4,0.7857249764510532,9,1,17,95,NA,15
Pinar Villamanrique Este (Chaparral),1,7,Cistus_crispus,1-7 Cistus_crispus,May,11,9,0.8181818181818182,85,59,0,0.9264306169455523,2,1,26,22,NA,3
Pinar Villamanrique Este (Chaparral),1,8,Cistus_salviifolius,1-8 Cistus_salviifolius,April,15,14,0.9333333333333333,10,15,5,0.9999999999086564,3,1,66,1,NA,1
Pinar Villamanrique Este (Chaparral),1,10,Cistus_salviifolius,1-10 Cistus_salviifolius,April,5,5,1,NA,NA,NA,0.9999967649579368,NA,1,5,NA,NA,NA
Pinar Villamanrique Este (Chaparral),2,1,Cistus_salviifolius,2-1 Cistus_salviifolius,April,5,4,0.8,2,1,0,0.9999999997463349,1,1,36,2,NA,1
Pinar Villamanrique Este (Chaparral),2,3,Cistus_crispus,2-3 Cistus_crispus,May,10,9,0.9,264,177,4,0.9603140267179412,7,1,28,75,NA,14
Pinar Villamanrique Este (Chaparral),2,5,Cistus_crispus,2-5 Cistus_crispus,April,5,1,0.2,20,24,0,0.5211308885964937,1,1,4,5,NA,2
Pinar Villamanrique Este (Chaparral),2,5,Cistus_crispus,2-5 Cistus_crispus,May,10,7,0.7,132,102,0,0.6983456960903262,5,2,27,34,NA,7
Pinar Villamanrique Este (Chaparral),2,6,Cistus_salviifolius,2-6 Cistus_salviifolius,April,10,9,0.9,8,4,4,0.9999999998999838,1,1,53,2,NA,1
Pinar Villamanrique Este (Chaparral),3,1,Cistus_crispus,3-1 Cistus_crispus,April,1,1,1,4,8,0,0.9275138195828253,1,2,43,1,NA,1
Pinar Villamanrique Este (Chaparral),3,1,Cistus_crispus,3-1 Cistus_crispus,May,1,1,1,8,0,0,0.59281225727085185,1,1,10,1,NA,1
Pinar Villamanrique Este (Chaparral),3,2,Cistus_salviifolius,3-2 Cistus_salviifolius,April,5,5,1,2,1,0,0.9999937036934855,1,2,23,1,NA,1
Pinar Villamanrique Este (Chaparral),3,7,Cistus_salviifolius,3-7 Cistus_salviifolius,April,5,4,0.8,5,10,0,0.999972855308423,1,1,10,1,NA,1
Pinar Villamanrique Este (Chaparral),3,8,Cistus_salviifolius,3-8 Cistus_salviifolius,April,10,4,0.4,2,1,0,0.9999999999536947,1,1,70,2,NA,1
Pinar Villamanrique Este (Chaparral),3,9,Cistus_ladanifer,3-9 Cistus_ladanifer,March,10,3,0.3,60,25,0,0.7997290020348545,2,1,16,11,NA,3
Pinar Villamanrique Este (Chaparral),3,10,Cistus_salviifolius,3-10 Cistus_salviifolius,April,5,5,1,4,1,1,0.9999999999153301,1,2,89,3,NA,1
Pinar Villamanrique Este (Chaparral),4,2,Cistus_salviifolius,4-2 Cistus_salviifolius,April,15,13,0.8666666666666667,NA,NA,NA,0.9999994988589779,NA,2,26,NA,NA,NA
Pinar Villamanrique Este (Chaparral),4,5,Cistus_crispus,4-5 Cistus_crispus,April,1,1,1,NA,NA,NA,0.1802939365442617,NA,3,14,NA,NA,NA
Pinar Villamanrique Este (Chaparral),4,5,Cistus_ladanifer,4-5 Cistus_ladanifer,March,5,5,1,NA,NA,NA,0.6284056316866549,NA,2,7,NA,NA,NA
Pinar Villamanrique Este (Chaparral),4,5,Cistus_ladanifer,4-5 Cistus_ladanifer,April,2,1,0.5,NA,NA,NA,0.8180851046440796,NA,3,14,NA,NA,NA
Pinar Villamanrique Este (Chaparral),4,7,Cistus_crispus,4-7 Cistus_crispus,April,5,5,1,8,0,8,0.5090384453742144,1,1,6,2,1,1
Pinar Villamanrique Este (Chaparral),4,7,Cistus_crispus,4-7 Cistus_crispus,May,5,3,0.6,3,9,0,0.4835829115889357,1,1,5,1,NA,1
Pinar Villamanrique Este (Chaparral),4,9,Cistus_salviifolius,4-9 Cistus_salviifolius,April,5,4,0.8,3,2,0,0.9999999978369729,1,1,48,2,NA,1
Pinar Villamanrique Este (Chaparral),4,10,Cistus_ladanifer,4-10 Cistus_ladanifer,March,4,2,0.5,25,15,0,0.6909731109891465,1,2,376,5,NA,1
Pinar Villamanrique Este (Chaparral),5,1,Cistus_ladanifer,5-1 Cistus_ladanifer,April,2,1,0.5,NA,NA,NA,0.818082783437131,NA,2,3,NA,NA,NA
Pinar Villamanrique Este (Chaparral),5,2,Cistus_ladanifer,5-2 Cistus_ladanifer,April,1,1,1,NA,NA,NA,0.8150718672827643,NA,1,1,NA,NA,NA
Pinar Villamanrique Este (Chaparral),5,4,Cistus_crispus,5-4 Cistus_crispus,April,6,4,0.6666666666666666,223,118,16,0.8540266876148774,5,2,35,51,2,10
Pinar Villamanrique Este (Chaparral),5,4,Cistus_crispus,5-4 Cistus_crispus,May,10,9,0.9,136,108,0,0.9659094750054509,7,1,30,39,NA,9
Pinar Villamanrique Este (Chaparral),5,4,Cistus_salviifolius,5-4 Cistus_salviifolius,April,5,5,1,NA,NA,NA,0.999975729252025,NA,2,35,NA,NA,NA
Pinar Villamanrique Este (Chaparral),5,5,Cistus_crispus,5-5 Cistus_crispus,April,5,3,0.6,12,24,0,0.40364632904881,2,2,12,3,NA,2
