Fecha,Bosque,Ronda,Planta,X,Y,Flores,Year,Day_ISO,Day,Week_ISO,Week,Periodo
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,3,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,3,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,3,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,3,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,3,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,3,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,10,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,10,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,10,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,10,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,10,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,4,10,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,5,9,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,5,10,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,5,10,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,5,10,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,6,10,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,6,10,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,7,10,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,8,7,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,8,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,9,1,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,9,8,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,10,2,1,2021,111,51,16,8,2
2021-04-21,Pinar Hinojos,6,Leontodon_longirostris,10,10,1,2021,111,51,16,8,2
2021-05-03,Pinar Hinojos,7,Bartsia_trixago,10,7,3,2021,123,63,18,9,2
