"Fecha","Bosque","X.Y","Planta","Flores","Observaciones","Periodo","x","y"
0021-04-14,1,"6.04","Helleborus viridis",1,"",1,"6","04"
0021-04-14,1,"6.04","Viola riviniana",3,"",1,"6","04"
0021-04-14,1,"5.04","Viola riviniana",1,"",1,"5","04"
0021-04-14,1,"4.04","Taraxacum sp.",1,"",1,"4","04"
0021-04-14,1,"3.04","Hepatica nobilis",2,"",1,"3","04"
0021-04-14,1,"2.04","0",0,"",1,"2","04"
0021-04-14,1,"1.04","Viola riviniana",2,"",1,"1","04"
0021-04-14,1,"0.04","Taraxacum sp.",2,"",1,"0","04"
0021-04-14,1,"0.04","Viola riviniana",1,"",1,"0","04"
0021-04-14,1,"0.05","0",0,"",1,"0","05"
0021-04-14,1,"1.05","Viola riviniana",4,"",1,"1","05"
0021-04-14,1,"2.05","0",0,"",1,"2","05"
0021-04-14,1,"3.05","0",0,"",1,"3","05"
0021-04-14,1,"4.05","Viola riviniana",3,"",1,"4","05"
0021-04-14,1,"5.05","Viola riviniana",3,"",1,"5","05"
0021-04-14,1,"6.05","Viola riviniana",3,"",1,"6","05"
0021-04-14,1,"6.05","Helleborus viridis",1,"",1,"6","05"
0021-04-14,1,"7.05","0",0,"",1,"7","05"
0021-04-14,1,"8.05","0",0,"",1,"8","05"
0021-04-14,1,"9.05","Taraxacum sp.",1,"",1,"9","05"
0021-04-14,1,"10.05","Taraxacum sp.",2,"",1,"10","05"
0021-04-14,1,"10.05","Potentilla sterilis",1,"",1,"10","05"
0021-04-14,1,"10.05","Hutchinsia alpina",2,"",1,"10","05"
0021-04-14,1,"11.05","Bellis perennis",3,"",1,"11","05"
0021-04-14,1,"11.05","Viola riviniana",1,"",1,"11","05"
0021-04-14,1,"12.05","0",0,"",1,"12","05"
0021-04-14,1,"13.05","Potentilla sterilis",1,"",1,"13","05"
0021-04-14,1,"14.05","Taraxacum sp.",1,"",1,"14","05"
0021-04-14,1,"15.05","Taraxacum sp.",2,"",1,"15","05"
0021-04-14,1,"15.05","Potentilla sterilis",5,"",1,"15","05"
0021-04-14,1,"16.05","Taraxacum sp.",4,"",1,"16","05"
0021-04-14,1,"17.05","0",0,"",1,"17","05"
0021-04-14,1,"18.05","Bellis perennis",3,"",1,"18","05"
0021-04-14,1,"19.05","Taraxacum sp.",1,"",1,"19","05"
0021-04-14,1,"19.05","Potentilla sterilis",1,"",1,"19","05"
0021-04-14,1,"20.05","Helleborus viridis",1,"",1,"20","05"
0021-04-14,1,"20.05","Viola riviniana",1,"",1,"20","05"
0021-04-14,1,"20.05","Taraxacum sp.",1,"",1,"20","05"
0021-04-14,1,"21.05","Taraxacum sp.",2,"",1,"21","05"
0021-04-14,1,"21.05","Viola riviniana",1,"",1,"21","05"
