"","Bombus_lapidarius_106","Bombus_lapidarius_32","Bombus_lapidarius_33","Bombus_lapidarius_84","Bombus_lapidarius_86","Bombus_lapidarius_88","Bombus_lapidarius_91","Bombus_lapidarius_92","Bombus_pascuorum_17","Bombus_pascuorum_205","Bombus_pascuorum_207","Bombus_pascuorum_208","Bombus_pascuorum_209","Bombus_pascuorum_211","Bombus_pascuorum_212","Bombus_pascuorum_213","Bombus_pascuorum_214","Bombus_pascuorum_215","Bombus_pascuorum_216","Bombus_pascuorum_217","Bombus_pascuorum_23","Bombus_pascuorum_25","Bombus_pascuorum_31","Bombus_pascuorum_34","Bombus_pascuorum_35","Bombus_pascuorum_37","Bombus_pascuorum_38","Bombus_pascuorum_41","Bombus_pascuorum_77","Bombus_pascuorum_99","Bombus_terrestris_39","Bombus_terrestris_40"
"15-9 Vicia_pyrenaica",0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0
"16-10 Vicia_pyrenaica",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"16-17 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16-20 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16-5 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16-9 Vicia_pyrenaica",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"17-0 Vicia_pyrenaica",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-10 Vicia_pyrenaica",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-11 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"17-17 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-18 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-20 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-24 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-9 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-0 Vicia_pyrenaica",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-1 Vicia_pyrenaica",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-16 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18-17 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18-24 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
